,bookformat,bookedition,pages,weight,rating_value_0,rating_value_1,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_0_weight,genre_1_weight,genre_2_weight,genre_3_weight,genre_4_weight,genre_5_weight,genre_6_weight,genre_7_weight,genre_8_weight,genre_9_weight,totalRating,weightRating1,weightRating0,weightKategori,volume,weight_per_page,lexile_measureNumber,400,401,402,403,404,500,501,502,503,600,601,602,603,604,1,703,704,705,price
9,5,-1,504.00001275585987,3628.739802689785,4.289999838322403,4.600000014901161,7.000000116298908,26.999999185907644,19.000000116298907,219.00000662903776,3.0000001162989083,196.0000066224019,70.99999837344514,100.9999976763502,11.000000116298908,296.0000065127389,0.25999999046325684,0.20999999344348907,0.16999999585151693,0.0999999978542327,0.07999999599456784,0.05,0.03999999761581421,0.03999999799728392,0.029999997711181815,0.019999998807907104,27486.999383109473,105.99999842047694,204.99999558739367,304.0,593.9630236435248,7.199881695197329,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,98172.0
17,3,-1,356.99997538950953,1760.554250233986,4.889999853223564,0.0,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.999997963180864,99.99999684095387,205.99999808147552,303.0,1643.9000697776694,4.931523316420816,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,57604.0
29,7,-1,324.0000024957117,3991.6099570691495,3.9900001288950424,4.600000014901161,14.999999651103275,4.999999883701092,91.99999860441311,67.99999767402184,28.999999883701093,62.00000081327743,100.9999976763502,9.999999419087551,6.000000232597817,57.99999976740219,0.44999998807907104,0.1899999976158142,0.06999999930858615,0.0699999984979629,0.059999996995925876,0.05,0.03999999761581421,0.03999999799728392,0.029999997711181815,0.019999998807907104,45193.99947883997,105.99999842047694,204.99999558739367,304.0,497.88715436365305,12.319783342820314,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,103658.0
33,2,-1,528.0000188564885,771.1099861403018,3.679999952316285,4.3000003054738,3.0000001162989083,4.999999883701092,99.00000197708144,221.0000054660487,81.99999697622839,53.00000325310971,171.99999825726266,18.999998838175102,101.00000081409236,91.99999860441311,0.7699999809265137,0.07000000029802322,0.05000000259280191,0.01999999957084654,0.01999999899864196,0.019999998807907104,0.019999998807907104,0.00999999949932098,0.009999999535083806,0.009999999403953552,20886.000318009457,105.0000023692846,204.99999558739367,301.0,1742.425815778457,1.4604362751545548,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,649665.0
44,7,-1,499.9999880760441,725.7499809515733,3.8100000648200503,3.5999997913837465,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.99999929154117,105.0000023692846,204.99999558739367,301.0,1104.384884920594,1.4515002301561832,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,247882.99999999997
49,2,-1,303.99998558033235,544.3100139310642,3.7999998956918732,4.3000003054738,1.0,2.0,29.99999930220655,55.000001511885806,101.00000081409236,106.00000127800739,236.00000569294198,277.999994307058,50.000000697793446,32.0,0.3499999940395355,0.25,0.22000000276565537,0.03999999914169308,0.029999998497962938,0.029999998211860657,0.029999998211860657,0.029999998497962938,0.029999997711181815,0.019999998807907104,1475.0000812956507,105.0000023692846,204.99999558739367,301.0,1074.7888472588577,1.790490799031304,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,117806.0
50,2,-1,535.0000442988828,680.3900294972495,4.250000055879354,4.6999999180436145,3.0000001162989083,9.999999767402183,19.000000116298907,26.999999185907644,11.000000116298908,56.000002439832286,196.0000066224019,5.0,296.0000065127389,81.99999697622839,0.3400000035762787,0.23999999463558197,0.09000000034570692,0.09000000343322767,0.059999996995925876,0.05,0.03999999761581421,0.03999999799728392,0.029999997711181815,0.029999998211860657,460150.0015563955,105.99999842047694,204.99999558739367,301.0,1062.5784788121307,1.2717582130513598,740.0000193412415,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,122281.00000000001
56,2,62,465.99999126500904,771.1099861403018,3.769999984353781,4.099999903142454,3.0000001162989083,9.999999767402183,45.999999302206554,4.999999883701092,24.000000930391266,26.99999976763502,10.999999767635021,18.999998838175102,101.00000081409236,91.99999860441311,0.4399999976158142,0.14000000059604645,0.09000000034570692,0.07999999828338616,0.07000000066757203,0.059999996423721315,0.03999999761581421,0.029999998497962938,0.029999997711181815,0.019999998807907104,67415.00016879031,105.0000023692846,204.99999558739367,301.0,1646.6319297725772,1.654743181975314,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,122281.00000000001
59,7,-1,112.00000776443643,3738.8299912702582,4.320000047683715,4.800000119209288,14.000000232597817,25.000000348896723,9.999999767402183,55.000001511885806,28.999999883701093,49.00000185891984,119.00000023236498,18.999998838175102,4.999999883701092,136.99999476654912,0.3199999928474426,0.12999999523162842,0.11999999758005155,0.11999999742507925,0.10999999866485595,0.07999999523162842,0.03999999761581421,0.029999998497962938,0.029999997711181815,0.029999998211860657,4667.000084837945,105.99999842047694,204.99999558739367,304.0,712.3914713638912,33.382412257469795,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,189847.0
80,2,-1,517.0000397234114,566.9900165254285,4.480000071525573,4.800000119209288,3.0000001162989083,12.999999883701092,4.999999883701092,38.99999965110327,9.999999767402183,175.0000123153439,53.00000325310971,82.00000034854747,91.99999860441311,167.0000070942334,0.4399999976158142,0.15000000596046448,0.05999999879002577,0.05999999871253962,0.059999996995925876,0.059999996423721315,0.05,0.03999999799728392,0.029999997711181815,0.029999998211860657,46867.99977763248,105.99999842047694,204.99999558739367,301.0,1321.0946014068752,1.0966899659286296,760.0000179791822,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,225939.0
83,7,-1,380.99998149013817,1905.0899117223494,4.999999925494195,4.999999925494195,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999734327939,105.99999842047694,205.99999808147552,303.0,165.16096136619632,5.000237895527111,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,187537.0
95,2,28,319.99997781589593,512.5600199656898,3.909999967962504,4.4000002086162535,4.999999883701092,28.999999883701093,91.99999860441311,222.00000488455416,57.99999976740219,251.00000162655485,94.99999930290507,113.9999966307078,101.00000081409236,33.99999883701092,0.5699999928474426,0.10999999940395355,0.05999999879002577,0.04999999892711635,0.050000001668930066,0.05,0.029999998211860657,0.029999998497962938,0.029999997711181815,0.029999998211860657,167213.00177716897,105.0000023692846,204.99999558739367,301.0,883.5305069895136,1.6017517747109513,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,349375.0
98,2,-1,389.99998377787387,462.65999492461754,4.119999943375588,4.6999999180436145,3.0000001162989083,12.999999883701092,9.999999767402183,45.999999302206554,4.999999883701092,82.00000034854747,53.00000325310971,39.00000209128481,298.00000534974976,91.99999860441311,0.4399999976158142,0.14000000059604645,0.09000000034570692,0.09000000343322767,0.059999996995925876,0.05,0.05,0.03999999799728392,0.019999999070167612,0.019999998807907104,32407.998579982832,105.99999842047694,204.99999558739367,300.0,965.816004894233,1.1863095053352657,880.0000098068266,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,115640.00000000001
112,2,-1,688.0000122012573,952.540012295943,4.380000168383119,4.600000014901161,3.0000001162989083,4.999999883701092,99.00000197708144,221.0000054660487,172.0000041867607,82.00000034854747,53.00000325310971,100.9999976763502,91.99999860441311,307.0000001162989,0.7699999809265137,0.07999999821186066,0.03999999775290501,0.02999999935626981,0.01999999899864196,0.019999998807907104,0.009999999403953552,0.00999999949932098,0.009999999535083806,0.009999999403953552,47088.998669514316,105.99999842047694,204.99999558739367,301.0,1993.1573713142086,1.3845078336845937,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,140761.0
119,2,-1,319.99997781589593,453.5900035536073,4.639999797344211,0.0,9.999999767402183,28.999999883701093,19.000000116298907,4.999999883701092,97.00000314007052,86.99999651452531,234.00000127800737,999.0001061907956,999.0000145373635,999.0000145373635,0.33000001311302185,0.2199999988079071,0.22000000276565537,0.0999999978542327,0.03999999799728392,0.03999999761581421,0.03999999761581421,0.0,0.0,0.0,25.9999988487544,99.99999684095387,205.99999808147552,300.0,824.9807836164911,1.4174680724278768,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,230848.0
120,7,-1,316.99997705331737,4626.6401425808845,4.239999886751177,4.600000014901161,19.000000116298907,57.00000034889673,9.999999767402183,28.999999883701093,76.9999998837011,5.0,30.999999302905064,269.99997664731956,38.00000023259781,9.000000348896725,0.33000001311302185,0.18000000715255737,0.16999999585151693,0.1399999969959258,0.050000001668930066,0.03999999761581421,0.029999998211860657,0.01999999899864196,0.019999999070167612,0.019999998807907104,222085.9953148732,105.99999842047694,204.99999558739367,304.0,647.1895082265089,14.59507617379852,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,209192.0
128,2,-1,511.9999911263584,725.7499809515733,4.489999644607311,0.0,3.0000001162989083,9.999999767402183,26.999999185907644,19.000000116298907,11.000000116298908,7.00000023236498,300.99997815769194,119.99999500415295,196.00000511715197,999.0000145373635,0.38999998569488525,0.23000000417232513,0.11999999758005155,0.0699999984979629,0.059999996995925876,0.05,0.029999998211860657,0.029999998497962938,0.029999997711181815,0.0,123.99999229551022,99.99999684095387,204.99999558739367,301.0,1205.0003165092198,1.417478232797403,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,198509.0
132,2,-1,386.9999830152953,712.1400234626241,3.7600001132488234,4.199999806284907,1.0,2.0,32.0,225.00000314007053,156.99999802291856,92.00000011618249,199.00000580912447,139.00000720331437,101.00000081409236,222.00000488455416,0.44999998807907104,0.2800000011920929,0.10000000518560383,0.03999999914169308,0.03999999799728392,0.029999998211860657,0.009999999403953552,0.00999999949932098,0.009999999535083806,0.009999999403953552,7604.000432248444,105.0000023692846,204.99999558739367,301.0,1262.884518520644,1.8401546852758068,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,227960.0
136,2,-1,207.99999667238438,789.2500226167269,4.0,0.0,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000001771147073,99.99999684095387,204.99999558739367,301.0,608.7374735906388,3.7944712825490017,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,360781.0
151,2,-1,324.0000024957117,2379.284641426749,3.5199999284744274,3.9000000968575463,14.999999651103275,4.999999883701092,6.000000232597817,67.99999767402184,62.00000116298908,162.00000592530697,92.00000011618249,273.9999854771888,101.00000081409236,28.999999883701093,0.25,0.20000000298023224,0.19000000553131074,0.07999999828338616,0.07000000066757203,0.059999996423721315,0.059999996423721315,0.029999998497962938,0.029999997711181815,0.019999998807907104,100397.00270666696,105.0000023692846,204.99999558739367,303.0,1284.0307340768597,7.343473117527614,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,149712.0
154,2,-1,456.9999889772733,517.0900452187609,4.110000072270631,4.600000014901161,3.0000001162989083,9.999999767402183,12.999999883701092,52.99999895330983,4.999999883701092,82.00000034854747,39.00000209128481,119.99999500415295,298.00000534974976,313.9999960458371,0.47999998927116394,0.10999999940395355,0.11000000138282769,0.0999999978542327,0.059999996995925876,0.03999999761581421,0.03999999761581421,0.029999998497962938,0.019999999070167612,0.019999998807907104,36797.99743245664,105.99999842047694,204.99999558739367,301.0,1115.0783227247985,1.1314892315561709,710.0000213843302,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,111309.00000000001
162,2,-1,272.0000011092052,5170.950317715163,4.600000014901161,0.0,2.0,50.000000697793446,1.0,33.99999883701092,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.3700000047683716,0.3700000047683716,0.1500000034570692,0.11000000300407421,0.0,0.0,0.0,0.0,0.0,0.0,6.000000265672061,99.99999684095387,205.99999808147552,304.0,821.6204200548078,19.010843892510593,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,375362.0
164,2,-1,440.9999967417097,816.4699913290302,4.230000015646219,4.800000119209288,4.0,32.0,2.0,112.00000186078253,51.99999953480437,145.0000055767595,42.99999976763502,139.00000720331437,306.00000069779344,89.00000034889672,0.3799999952316284,0.18000000715255737,0.1500000034570692,0.0999999978542327,0.059999996995925876,0.059999996423721315,0.019999998807907104,0.01999999899864196,0.019999999070167612,0.019999998807907104,1073.0000014169177,105.99999842047694,204.99999558739367,301.0,1937.3341816346804,1.8514072945261724,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,428490.0
167,2,26,309.9999871054895,5805.98007335166,4.1700001929700345,4.6999999180436145,14.999999651103275,4.999999883701092,0.0,91.99999860441311,89.00000034889672,67.99999918672258,9.999999419087551,251.00000162655485,62.00000116298908,223.0000043030596,0.5099999904632568,0.15000000596046448,0.11000000138282769,0.04999999892711635,0.03999999799728392,0.03999999761581421,0.029999998211860657,0.029999998497962938,0.019999999070167612,0.019999998807907104,28856.999249742097,105.99999842047694,204.99999558739367,304.0,703.0124315909665,18.728964760742745,930.0000064016785,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,114485.00000000001
174,7,-1,351.99999778158957,4717.359723083104,3.5800000491738313,4.4000002086162535,25.999999767402183,2.0,109.00000360526616,18.00000069779345,51.99999953480437,255.99999035685335,138.0000124315264,80.99999814108017,241.99999325466334,46.99999872071201,0.4099999964237213,0.38999998569488525,0.03999999775290501,0.02999999935626981,0.01999999899864196,0.019999998807907104,0.019999998807907104,0.01999999899864196,0.019999999070167612,0.019999998807907104,3501.0000882031245,105.0000023692846,204.99999558739367,304.0,452.0803851928474,13.401588367392929,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,114774.00000000001
177,2,-1,308.99999868281884,680.3900294972495,3.6600002101063698,4.199999806284907,0.0,4.999999883701092,14.999999651103275,202.00000162818472,89.00000034889672,87.99999872199261,123.99999639834282,92.00000011618249,57.99999976740219,161.99999511544584,0.4099999964237213,0.1899999976158142,0.12999999377727542,0.0699999984979629,0.059999996995925876,0.05,0.029999998211860657,0.029999998497962938,0.019999999070167612,0.019999998807907104,28169.998492665283,105.0000023692846,204.99999558739367,301.0,1286.7877164601005,2.201909562074579,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,215111.0
192,2,-1,402.9999752508589,771.1099861403018,3.7799998554587386,4.4000002086162535,4.999999883701092,29.99999930220655,0.0,3.0000001162989083,117.99999837181528,106.00000127800739,14.999999302905062,89.00000092945992,169.00000593124432,91.99999860441311,0.25,0.20000000298023224,0.15999999101162005,0.1399999969959258,0.07000000066757203,0.05,0.03999999761581421,0.03999999799728392,0.029999997711181815,0.019999998807907104,32098.99826480721,105.0000023692846,204.99999558739367,301.0,1247.223239388207,1.9134261901146432,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,268961.0
195,3,-1,265.99999958404806,2294.68476480598,4.999999925494195,0.0,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000001771147073,99.99999684095387,205.99999808147552,303.0,1496.7849615902062,8.626636345372233,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,86478.00000000001
208,2,-1,223.99998890794797,5080.229877462469,4.619999757111076,0.0,12.999999883701092,87.00000151188581,38.00000023259781,29.99999930220655,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,0.5299999713897705,0.20000000298023224,0.12999999377727542,0.1299999918460843,0.0,0.0,0.0,0.0,0.0,0.0,45.99999849452499,99.99999684095387,205.99999808147552,304.0,638.0238755968791,22.679600922910815,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,176565.0
233,2,-1,520.00004048599,616.8899878320959,4.230000015646219,4.6999999180436145,9.999999767402183,14.999999651103275,6.000000232597817,21.000000814092356,67.99999767402184,29.000000464729958,162.00000592530697,5.0,62.00000116298908,38.00000023259781,0.25999999046325684,0.2199999988079071,0.11999999758005155,0.11999999742507925,0.07999999599456784,0.05,0.03999999761581421,0.03999999799728392,0.039999998140335224,0.029999998211860657,11590.000466785812,105.99999842047694,204.99999558739367,301.0,1507.5941576784608,1.186324745889555,720.0000207033006,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,119250.00000000001
240,7,-1,63.0000071405085,2902.99003667583,4.230000015646219,4.199999806284907,9.000000348896725,999.0000145373635,999.0000145373635,999.0000145373635,999.0000145373635,999.0001061907956,999.0001061907956,999.0001061907956,999.0000145373635,999.0000145373635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.9999868049543,105.0000023692846,204.99999558739367,303.0,345.702383719272,46.079206271932605,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,216555.0
250,2,-1,265.99999958404806,526.169977454639,3.9400001773238156,4.500000111758707,14.999999651103275,0.0,4.999999883701092,89.00000034889672,223.0000043030596,92.00000011618249,53.00000325310971,100.9999976763502,67.99999767402184,488.000013955869,0.5099999904632568,0.1599999964237213,0.11000000138282769,0.05999999871253962,0.050000001668930066,0.019999998807907104,0.019999998807907104,0.01999999899864196,0.019999999070167612,0.019999998807907104,9040.00064088957,0.0,204.99999558739367,301.0,1111.4978053713635,1.978081701595186,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,321801.0
253,2,-1,277.0000142116917,6939.9599989337075,4.34000008791685,4.6999999180436145,2.0,1.0,64.99999941850545,32.0,207.99999813921747,211.00000255601478,248.0000024398323,317.99999337759806,156.99999802291856,109.00000360526616,0.4399999976158142,0.17000000178813934,0.15999999101162005,0.05999999871253962,0.050000001668930066,0.029999998211860657,0.019999998807907104,0.01999999899864196,0.019999999070167612,0.019999998807907104,4439.999809867361,105.99999842047694,204.99999558739367,304.0,857.0304707959777,25.054008158617975,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,548462.0
254,2,-1,502.00000041595194,703.0700320916138,4.010000169128177,4.600000014901161,0.0,89.00000034889672,4.999999883701092,19.000000116298907,251.0000029074727,100.9999976763502,92.00000011618249,36.000002904562244,57.99999976740219,238.99999499914694,0.6100000143051147,0.11999999731779099,0.11999999758005155,0.04999999892711635,0.029999998497962938,0.019999998807907104,0.019999998807907104,0.01999999899864196,0.009999999535083806,0.009999999403953552,71943.00217656264,105.99999842047694,204.99999558739367,301.0,1541.6744972717877,1.4005358166123154,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,165881.0
258,2,-1,328.99998010363163,2443.676942881797,3.9900001288950424,4.600000014901161,14.999999651103275,9.999999767402183,6.000000232597817,28.999999883701093,4.999999883701092,62.00000081327743,92.00000011618249,67.99999918672258,161.99999511544584,19.000000116298907,0.28999999165534973,0.25999999046325684,0.11000000138282769,0.09000000343322767,0.07000000066757203,0.059999996423721315,0.03999999761581421,0.029999998497962938,0.019999999070167612,0.019999998807907104,64898.99983758581,105.99999842047694,204.99999558739367,303.0,1182.3916761282783,7.427590816835764,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,125312.99999999999
260,3,-1,293.99999486992596,2637.9261710269548,4.079999862909319,4.500000111758707,24.000000930391266,6.000000232597817,4.999999883701092,21.000000814092356,14.999999651103275,46.00000267219726,127.00001045642408,162.00000592530697,91.99999860441311,62.00000116298908,0.1899999976158142,0.18000000715255737,0.16999999585151693,0.15999999656677233,0.08999999966621398,0.06999999880790711,0.03999999761581421,0.03999999799728392,0.039999998140335224,0.029999998211860657,56184.00351369013,0.0,204.99999558739367,303.0,1123.7079962747098,8.972535965525232,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,86478.00000000001
262,2,-1,417.99997906375177,539.7699940787205,4.289999838322403,4.500000111758707,9.999999767402183,56.000000930391266,3.0000001162989083,26.999999185907644,19.000000116298907,10.999999767635021,82.00000034854747,295.9999894273934,7.000000116298908,4.999999883701092,0.23000000417232513,0.18000000715255737,0.16999999585151693,0.1299999918460843,0.08999999966621398,0.05,0.05,0.03999999799728392,0.029999997711181815,0.029999998211860657,113992.00673151013,0.0,204.99999558739367,301.0,1187.8040860811452,1.2913169243894669,690.0000227463895,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,136285.0
267,2,-1,334.9999816287888,2360.5128495543718,3.449999936670066,4.3000003054738,2.0,1.0,32.0,91.99999860441311,225.00000314007053,157.0000023236498,30.999999302905064,100.9999976763502,28.999999883701093,29.99999930220655,0.38999998569488525,0.2199999988079071,0.1399999986171723,0.0699999984979629,0.059999996995925876,0.03999999761581421,0.019999998807907104,0.01999999899864196,0.019999999070167612,0.009999999403953552,34380.999427919494,105.0000023692846,204.00000537186855,303.0,1263.6474224264164,7.046307709807463,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,531282.0
270,2,-1,388.9999953552032,589.669965385388,4.3000003054738,4.6999999180436145,14.999999651103275,19.000000116298907,67.99999767402184,4.999999883701092,63.00000058149454,334.9999788547869,162.00000592530697,24.00000058091245,91.99999860441311,6.000000232597817,0.36000001430511475,0.1599999964237213,0.07999999550581002,0.07999999828338616,0.07000000066757203,0.06999999880790711,0.059999996423721315,0.050000001668930066,0.039999998140335224,0.029999998211860657,25066.99796654604,105.99999842047694,204.99999558739367,301.0,1266.013010427466,1.5158610909204635,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,173244.0
